Exports,2006,Singapore,4204388
Exports,2006,Slovak Republic,4377
Exports,2006,Slovenia,13543
Exports,2006,Solomon Islands,66817
Exports,2006,Somalia,16
Exports,2006,South Africa,2207668
Exports,2006,Spain,891653
Exports,2006,Sri Lanka,187672
Exports,2006,St Helena,35
Exports,2006,St Kitts & Nevis,425
Exports,2006,St Lucia,1862
Exports,2006,St Vincent & Grenadines,2358
Exports,2006,Sudan,292490
Exports,2006,Suriname,2871
Exports,2006,Swaziland,398
Exports,2006,Sweden,422019
Exports,2006,Switzerland,260183
Exports,2006,Syria,5344
Exports,2006,Taiwan,5909033
Exports,2006,Tajikistan,467
Exports,2006,Tanzania,30095
Exports,2006,Thailand,4230025
Exports,2006,Togo,1448
Exports,2006,Tonga,13498
Exports,2006,Trinidad & Tobago,14906
Exports,2006,Tunisia,4141
Exports,2006,Turkey,385350
Exports,2006,Turkmenistan,498
Exports,2006,Turks & Caicos Islands,39
Exports,2006,Tuvalu,3523
Exports,2006,Uganda,3414
Exports,2006,UK Virgin Islands,7389
Exports,2006,Ukraine,55435
Exports,2006,United Arab Emirates,1647222
Exports,2006,United Kingdom,7792695
Exports,2006,United States,9788051
Exports,2006,Uruguay,14151
Exports,2006,US Outlying Islands,1187
Exports,2006,US Virgin Islands,974
Exports,2006,Uzbekistan,1024
Exports,2006,Vanuatu,61991
Exports,2006,Venezuela,19980
Exports,2006,Vietnam,914861
Exports,2006,Wallis & Futuna Island,6056
Exports,2006,Yemen,129646
Exports,2006,Zambia,10281
Exports,2006,Zimbabwe,3488
Exports,2007,Afghanistan,19599
Exports,2007,Albania,573
Exports,2007,Algeria,89110
Exports,2007,American Samoa,10030
Exports,2007,Angola,4556
Exports,2007,Antarctica,4632
Exports,2007,Antigua & Barbuda,1645
Exports,2007,Argentina,125011
Exports,2007,Armenia,3863
Exports,2007,Austria,69118
Exports,2007,Azerbaijan,7979
Exports,2007,Bahamas,3632
Exports,2007,Bahrain,134220
Exports,2007,Bangladesh,181566
